Epoch,Module,Mean_Std
1,Swin_Stage1,1.917995572090149
1,STDS,0.25509343842665355
1,Temporal,1.0102748632431031
1,Head,nan
2,Swin_Stage1,2.1304297844568887
2,STDS,0.3151276285449664
2,Temporal,1.0350665648778279
2,Head,nan
3,Swin_Stage1,2.181714746687147
3,STDS,0.348265855676598
3,Temporal,1.0657303068372939
3,Head,nan
4,Swin_Stage1,2.1908841927846274
4,STDS,0.33631719317701125
4,Temporal,1.0989969703886244
4,Head,nan
5,Swin_Stage1,2.1898234685262046
5,STDS,0.3137244325545099
5,Temporal,1.1225795017348394
5,Head,nan
6,Swin_Stage1,2.190370731883579
6,STDS,0.29571795877483154
6,Temporal,1.127533819940355
6,Head,nan
7,Swin_Stage1,2.1903709040747747
7,STDS,0.29420746035046047
7,Temporal,1.1239760518074036
7,Head,nan
8,Swin_Stage1,2.189964599079556
8,STDS,0.2926713551084201
8,Temporal,1.1248064438501995
8,Head,nan
9,Swin_Stage1,2.1934983332951865
9,STDS,0.29382146729363334
9,Temporal,1.1261728472179837
9,Head,nan
10,Swin_Stage1,2.1932422717412314
10,STDS,0.2882149318854014
10,Temporal,1.1218160258399115
10,Head,nan
