Epoch,Train_Loss,Val_Loss,HR_MAE,HR_RMSE,HR_Pearson,LR,Grad_Norm,GPU_Mem_MB,Epoch_Time_s
1,7802.066731770833,6269.1708984375,78.71193,79.1781,0.3482150830647637,0.001,3062.150528971354,525.05029296875,28.145391702651978
2,5917.05390625,4176.007975260417,64.050026,64.62204,0.23720410786303456,0.001,5966.224934895833,525.05029296875,21.930023193359375
3,3607.741805013021,1976.6279296875,43.623684,44.459286,0.2998283503404521,0.001,7574.454134114583,525.05029296875,22.125126838684082
4,1559.1245641072592,397.9693603515625,18.010181,19.94917,-0.32799745587993623,0.001,6508.681315104167,525.05029296875,22.246960163116455
5,564.6477722167969,73.66054280598958,8.543628,8.582572,0.11254409420632187,0.001,3847.2834635416666,525.05029296875,22.27208399772644
6,328.4192936579386,97.44690958658855,8.543611,9.871521,0.17527195812177124,0.001,2995.4197387695312,525.05029296875,22.05317711830139
7,392.9749443054199,85.5333480834961,8.543677,9.248425,-0.11319832525548992,0.001,3315.464111328125,525.05029296875,22.034228563308716
8,357.2336181640625,172.8670654296875,9.963158,13.147892,-0.18114956394489973,0.001,3271.4999491373696,525.05029296875,22.10547161102295
9,354.8367762247721,76.0556131998698,8.543654,8.720986,-0.24171765298046907,0.001,3426.9909912109374,525.05029296875,22.361405849456787
10,444.67267557779945,183.4643096923828,10.481505,13.5449,0.39627641662062785,0.001,3566.6698201497397,525.05029296875,22.11881399154663
11,403.5648194034894,176.27574666341147,10.132796,13.276888,0.5570660534504722,0.001,3880.6090433756513,525.05029296875,22.265569925308228
12,465.2453263600667,73.80900319417317,8.543556,8.591217,0.36546323041948625,0.001,3541.708260091146,525.05029296875,22.501338958740234
13,344.8669992129008,156.07076009114584,9.084347,12.492828,-0.1895364745469008,0.001,2995.6646809895833,525.05029296875,22.626539707183838
14,421.7277014980713,77.33318837483723,8.543611,8.793929,0.5713120144277832,0.001,3770.4032089233397,525.05029296875,23.060361623764038
15,403.2563832600911,76.49317932128906,8.543624,8.746038,0.12282047784195801,0.001,3268.6724609375,525.05029296875,23.328291654586792
16,439.6997873942057,159.68951416015625,9.278323,12.636831,0.7296834673681529,0.001,3978.62490234375,525.05029296875,22.77307629585266
17,297.1550450642904,136.5605926513672,8.543621,11.685914,0.15130669100326638,0.001,3132.7952392578127,525.05029296875,22.74100947380066
18,469.84258330663044,160.3891143798828,9.315934,12.664482,0.0039042985058607583,0.001,3757.941682942708,525.05029296875,22.3982892036438
19,390.83501806259153,88.67107391357422,8.543654,9.416532,-0.14563789079110587,0.001,6310.837532552084,525.05029296875,21.975789785385132
20,352.0631540616353,164.20258076985678,9.518406,12.814156,-0.13168259818991354,0.001,3097.1674051920572,525.05029296875,22.327810764312744
21,303.769478003184,163.4233652750651,9.47739,12.783714,0.7041855821803696,0.001,2477.6035725911456,525.05029296875,21.421035528182983
22,315.7278283596039,90.13100179036458,8.543549,9.493735,0.42240437336990316,0.001,2910.9126993815103,525.05029296875,21.359675407409668
23,349.72035077412926,156.53222147623697,9.106631,12.511284,0.3867962884598374,0.001,3020.4315266927083,525.05029296875,21.47193169593811
24,444.88208363850913,177.30293782552084,10.183398,13.315515,0.436863734011309,0.001,3905.3359619140624,525.05029296875,21.385464906692505
25,399.33683497111,100.95166778564453,8.54356,10.04747,0.4624049817862041,0.001,3102.706262207031,525.05029296875,21.47951316833496
26,465.7949112256368,73.9242451985677,8.543586,8.597921,0.36385979750289615,0.001,3372.561284383138,525.05029296875,21.427648544311523
27,341.52008488972984,91.38173929850261,8.543708,9.55938,-0.18638152484238105,0.001,3203.428885904948,525.05029296875,21.42081332206726
28,350.82750129699707,140.53893025716147,8.604201,11.854912,-0.11688900107871415,0.001,2400.290979003906,525.05029296875,21.390512466430664
29,429.4635784943899,128.31842295328775,8.543702,11.327772,-0.12664299835634882,0.001,3251.1147969563804,525.05029296875,21.587329387664795
30,355.3559136708578,140.08175659179688,8.59486,11.835614,-0.0796769695775728,0.001,3203.815989176432,525.05029296875,21.709740161895752
