Epoch,Pred_Mean,Pred_Std,Pred_Entropy,Target_Std,Latent_Std
1,12.077758,2.6691525e-06,0.0,8.57919,1.0221772
2,28.629303,1.1012082e-06,0.0,8.57919,1.0512865
3,51.699505,2.2024165e-06,0.0,8.57919,1.0842879
4,79.77906,1.9200223e-05,0.0,8.57919,1.1174415
5,99.06718,2.2675265e-05,0.0,8.57919,1.138048
6,103.32317,2.3515373e-05,0.0,8.57919,1.1414073
7,92.05479,1.5573436e-05,0.0,8.57919,1.1318024
8,100.388214,8.809666e-06,0.0,8.57919,1.1385587
9,95.14905,0.0,0.0,8.57919,1.134178
10,101.50894,8.809666e-06,0.0,8.57919,1.1395249
