Epoch,Module,Mean_Std
1,Swin_Stage1,2.002579593658447
1,STDS,0.24128477772076926
1,Temporal,1.009154772758484
1,Head,nan
2,Swin_Stage1,2.156917300489214
2,STDS,0.3138885762956407
2,Temporal,1.0328752530945673
2,Head,nan
3,Swin_Stage1,2.1817185944981046
3,STDS,0.3358818565805753
3,Temporal,1.0634180969662137
3,Head,nan
4,Swin_Stage1,2.1883707311418323
4,STDS,0.33212656362189186
4,Temporal,1.0968748132387798
4,Head,nan
5,Swin_Stage1,2.18640841378106
5,STDS,0.30848730355501175
5,Temporal,1.1265084478590224
5,Head,nan
6,Swin_Stage1,2.1930483447180853
6,STDS,0.2893681327501933
6,Temporal,1.1335380011134677
6,Head,nan
7,Swin_Stage1,2.1910746097564697
7,STDS,0.27748080011871123
7,Temporal,1.139438635773129
7,Head,nan
8,Swin_Stage1,2.193446775277456
8,STDS,0.2741868984368112
8,Temporal,1.1298987600538466
8,Head,nan
9,Swin_Stage1,2.191110763284895
9,STDS,0.27192094177007675
9,Temporal,1.1367953419685364
9,Head,nan
10,Swin_Stage1,2.1913109289275274
10,STDS,0.2739841664830844
10,Temporal,1.1332052614953783
10,Head,nan
