Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,STDS,Temporal,Fusion,Head,Alpha_Val,Alpha_Grad
1,3.035653e+01,2.833414e+01,5.240848e+01,1.048720e+02,1.246960e+01,3.577854e+02,0.000000e+00,2.985247e+03,9.978899e-01,3.155386e-01
2,7.506824e-03,8.807087e-03,7.006732e-02,2.928098e-01,8.816880e-02,3.010799e+02,0.000000e+00,6.070389e+03,9.968458e-01,1.060560e-03
3,4.423917e-03,5.376715e-03,3.720626e-02,1.740110e-01,8.757369e-02,3.892494e+02,0.000000e+00,7.563377e+03,9.966397e-01,2.722473e-04
4,4.777457e-03,5.693423e-03,3.992441e-02,1.855218e-01,1.036788e-01,3.169665e+02,0.000000e+00,5.594241e+03,9.965867e-01,6.217763e-04
5,1.088932e-02,1.325828e-02,8.874253e-02,4.307450e-01,2.322679e-01,2.294707e+02,0.000000e+00,2.971933e+03,9.965760e-01,-2.989602e-04
6,4.824694e-03,6.927452e-03,4.077582e-02,1.690478e-01,1.127926e-01,3.897154e+02,0.000000e+00,2.960719e+03,9.965894e-01,-1.683150e-03
7,6.129725e-04,8.384117e-04,5.451690e-03,2.278632e-02,1.791798e-02,3.329938e+02,0.000000e+00,3.691871e+03,9.966050e-01,1.446825e-04
8,7.796116e-04,9.446309e-04,5.501897e-03,2.294964e-02,1.872803e-02,4.308131e+02,0.000000e+00,3.296388e+03,9.966086e-01,-1.094345e-04
9,2.598055e-04,3.312819e-04,2.223424e-03,8.169273e-03,7.025746e-03,2.349997e+02,0.000000e+00,3.102025e+03,9.966090e-01,-3.115542e-04
10,3.044649e-04,3.812623e-04,2.538307e-03,9.166525e-03,8.166232e-03,2.767970e+02,0.000000e+00,3.715006e+03,9.966083e-01,1.122791e-04
