Epoch,Loss,ValLoss,LR,HR_Loss,WV_Loss,PredMean,PredStd,TargetStd,PredictionEntropy,Alpha,GradAlpha,EffectiveAlpha,GradHead,GradTemporal,GradSwin1,GradSwin2,GradSwin3,GradSwin4,GradSTDS,Head/Swin Ratio,Head/STDS Ratio,LatentStd,MAE,RMSE,Pearson,CCC,GPU Memory
1,7560.308723958334,5536.41845703125,1.000000e-03,5535.5902,0.8282,16.3322,0.000001,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.328341e+03,4.469585e+02,2.233192e+01,1.665882e+01,3.030052e+01,7.574603e+01,1.183143e+01,149.04,281.31,1.0241,73.9053,74.4015,-0.0541,0.0,528.2
2,4936.940266927083,3040.3775227864585,1.000000e-03,3039.5464,0.8311,35.7770,0.000003,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,5.946485e+03,3.441800e+02,2.501804e-03,3.623506e-03,1.422774e-02,1.513137e-01,4.556121e-02,2376878.63,130516.40,1.0538,54.4605,55.1321,0.2665,0.0,528.2
3,2476.6812337239585,913.5146891276041,1.000000e-03,912.6766,0.8381,61.2707,0.000004,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,6.586726e+03,3.985699e+02,2.168748e-03,3.429253e-03,1.456246e-02,1.131693e-01,4.585068e-02,3037110.53,143656.02,1.0866,28.9668,30.2105,0.0889,0.0,528.2
4,727.6940729777018,75.05080922444661,1.000000e-03,74.2005,0.8503,91.0104,0.000087,8.5792,-609392.7494,0.000000e+00,0.000000e+00,0.000000e+00,4.039806e+03,2.626011e+02,2.353456e-03,3.179328e-03,1.247698e-02,1.130110e-01,4.230775e-02,1716542.04,95486.19,1.1192,8.5437,8.6140,-0.4085,0.0,528.2
5,312.7267995198568,219.76949564615884,1.000000e-03,218.9147,0.8548,102.2920,0.000012,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.661495e+03,3.105065e+02,1.152180e-02,1.501868e-02,5.951118e-02,3.488328e-01,1.406764e-01,230996.55,18919.27,1.1302,12.0546,14.7958,0.6797,0.0,528.2
