Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,STDS,Temporal,Fusion,Head,Alpha_Val,Alpha_Grad
1,2.233192e+01,1.665882e+01,3.030052e+01,7.574603e+01,1.183143e+01,4.469585e+02,0.000000e+00,3.328341e+03,0.000000e+00,0.000000e+00
2,2.501804e-03,3.623506e-03,1.422774e-02,1.513137e-01,4.556121e-02,3.441800e+02,0.000000e+00,5.946485e+03,0.000000e+00,0.000000e+00
3,2.168748e-03,3.429253e-03,1.456246e-02,1.131693e-01,4.585068e-02,3.985699e+02,0.000000e+00,6.586726e+03,0.000000e+00,0.000000e+00
4,2.353456e-03,3.179328e-03,1.247698e-02,1.130110e-01,4.230775e-02,2.626011e+02,0.000000e+00,4.039806e+03,0.000000e+00,0.000000e+00
5,1.152180e-02,1.501868e-02,5.951118e-02,3.488328e-01,1.406764e-01,3.105065e+02,0.000000e+00,2.661495e+03,0.000000e+00,0.000000e+00
