Subject_ID,GT_HR,Pred_HR,Absolute_Error
tensor(40),80.555725,89.01974,8.464012
tensor(41),98.778404,89.019745,9.758659
tensor(42),81.5164,89.01974,7.503334
tensor(43),98.236725,89.01974,9.216988
tensor(44),83.00938,89.01974,6.0103607
tensor(45),99.32817,89.01974,10.308434
