Epoch,Loss,ValLoss,LR,PredMean,PredStd,TargetStd,PredictionEntropy,Alpha,GradAlpha,EffectiveAlpha,GradHead,GradTemporal,GradSwin1,GradSwin2,GradSwin3,GradSwin4,GradSTDS,Head/Swin Ratio,Head/STDS Ratio,LatentStd,MAE,RMSE,Pearson,CCC,GPU Memory
1,7832.544205729167,6192.047037760417,1.000000e-03,12.0170,0.000003,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.003447e+03,3.567363e+02,3.119783e+01,2.880094e+01,4.867105e+01,1.174205e+02,1.448960e+00,96.27,2072.83,1.0225,78.2205,78.6896,0.0206,0.0,525.6
2,5773.043017578125,3902.240234375,1.000000e-03,28.3615,0.000001,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,6.075630e+03,3.006654e+02,7.841558e-03,1.145783e-02,6.907337e-02,2.798951e-01,9.018585e-03,774798.87,673678.90,1.0517,61.8760,62.4679,0.7043,0.0,525.6
3,3305.071150716146,1597.5541585286458,1.000000e-03,51.1996,0.000003,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,7.590113e+03,3.892995e+02,6.488866e-03,9.350859e-03,5.113321e-02,2.131678e-01,8.057263e-03,1169713.47,942021.36,1.0847,39.0378,39.9694,0.5558,0.0,525.6
4,1269.5022252400715,196.04341634114584,1.000000e-03,79.1722,0.000008,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,5.677521e+03,3.188273e+02,5.299636e-03,6.818871e-03,4.666528e-02,1.981619e-01,9.500665e-03,1071303.91,597591.99,1.1181,11.0653,14.0016,-0.2584,0.0,525.6
5,322.2447700500488,136.54452514648438,1.000000e-03,98.1711,0.000017,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.032241e+03,2.378370e+02,1.384464e-02,1.887702e-02,1.209196e-01,5.234391e-01,2.379262e-02,219019.11,127444.60,1.1385,8.5436,11.6852,0.2281,0.0,525.6
6,382.4380289713542,240.83008829752603,1.000000e-03,103.1691,0.000004,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.946015e+03,3.901612e+02,1.035069e-02,1.504829e-02,6.900240e-02,2.429021e-01,1.028666e-02,284620.17,286391.84,1.1426,12.9317,15.5187,0.0297,0.0,525.6
7,350.38312638600667,75.08534495035808,1.000000e-03,89.0197,0.000007,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.648722e+03,3.562647e+02,5.962458e-04,7.950718e-04,5.538616e-03,2.766597e-02,1.506642e-03,6119493.27,2421757.30,1.1312,8.5436,8.6652,0.4452,0.0,525.6
8,392.31705277760824,176.98259480794272,1.000000e-03,100.4051,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.237019e+03,3.899996e+02,7.349096e-04,8.827160e-04,5.214466e-03,2.496060e-02,1.288048e-03,4404648.94,2513120.74,1.1405,10.1676,13.3035,0.0000,0.0,525.6
9,347.8539019902547,92.83399709065755,1.000000e-03,94.6229,0.000011,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.067935e+03,2.517677e+02,2.373830e-04,2.931031e-04,2.105970e-03,9.278436e-03,5.909642e-04,12923990.12,5191405.52,1.1356,8.5436,9.6350,0.7584,0.0,525.6
10,440.0479928334554,239.96190897623697,1.000000e-03,103.1355,0.000009,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.684579e+03,2.732070e+02,2.707578e-04,3.242235e-04,2.287748e-03,9.558045e-03,6.192272e-04,13608391.81,5950285.37,1.1427,12.8980,15.4907,-0.6969,0.0,525.6
