Epoch,Module,Mean_Std
1,Swin_Stage1,2.0033936580022176
1,STDS,0.23903670410315195
1,Temporal,1.0093543529510498
1,Head,nan
2,Swin_Stage1,2.1865497496392994
2,STDS,0.3153947956032223
2,Temporal,1.0332333578003778
2,Head,nan
3,Swin_Stage1,2.221430069870419
3,STDS,0.33382148543993634
3,Temporal,1.0637807581159804
3,Head,nan
4,Swin_Stage1,2.232156409157647
4,STDS,0.32835733311043847
4,Temporal,1.097315616077847
4,Head,nan
5,Swin_Stage1,2.230124937163459
5,STDS,0.30458415382438236
5,Temporal,1.127175960275862
5,Head,nan
6,Swin_Stage1,2.2377036677466497
6,STDS,0.28492077274454963
6,Temporal,1.1340040961901348
6,Head,nan
7,Swin_Stage1,2.2351509200202093
7,STDS,0.27404653363757664
7,Temporal,1.1403873430358038
7,Head,nan
8,Swin_Stage1,2.2365941603978476
8,STDS,0.271114990943008
8,Temporal,1.1328368650542364
8,Head,nan
9,Swin_Stage1,2.2340308162901135
9,STDS,0.26892080985837513
9,Temporal,1.1379046108987596
9,Head,nan
10,Swin_Stage1,2.2357159521844654
10,STDS,0.27079129384623635
10,Temporal,1.1363563670052423
10,Head,nan
