Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,STDS,Temporal,Fusion,Head,Alpha_Val,Alpha_Grad
1,3.082077e+01,2.863200e+01,5.037448e+01,1.109513e+02,6.864700e+00,3.566350e+02,0.000000e+00,2.997581e+03,4.974610e-01,5.782964e-01
2,5.725317e-03,7.820626e-03,5.878781e-02,3.054788e-01,3.909762e-02,2.999203e+02,0.000000e+00,6.064953e+03,4.959610e-01,1.988477e-03
3,4.658247e-03,6.382222e-03,4.659246e-02,2.247816e-01,3.654872e-02,3.892730e+02,0.000000e+00,7.591475e+03,4.956495e-01,6.735498e-04
4,5.412268e-03,6.671730e-03,5.018421e-02,2.488953e-01,4.297908e-02,3.192061e+02,0.000000e+00,5.673250e+03,4.955709e-01,1.628411e-03
5,1.390607e-02,1.730848e-02,1.165848e-01,6.346672e-01,1.125355e-01,2.482946e+02,0.000000e+00,3.017005e+03,4.955506e-01,1.752487e-03
6,6.716038e-03,9.148681e-03,4.615412e-02,2.187166e-01,4.343351e-02,4.010557e+02,0.000000e+00,2.990310e+03,4.955448e-01,-6.891680e-04
7,4.197771e-04,6.026674e-04,4.797417e-03,2.882778e-02,7.404172e-03,3.514006e+02,0.000000e+00,3.703111e+03,4.955457e-01,-1.266379e-04
8,5.169186e-04,6.552053e-04,4.339266e-03,2.482490e-02,6.656294e-03,4.004162e+02,0.000000e+00,3.261514e+03,4.955459e-01,-5.905035e-06
9,2.129396e-04,2.964227e-04,1.817204e-03,1.097542e-02,2.873418e-03,2.450952e+02,0.000000e+00,3.110199e+03,4.955460e-01,-4.689410e-04
10,2.308784e-04,2.961320e-04,1.937609e-03,1.137349e-02,3.004117e-03,2.685972e+02,0.000000e+00,3.717588e+03,4.955454e-01,3.077930e-05
