Epoch,Module,Mean_Std
1,Swin_Stage1,2.0333913882573444
1,STDS,0.23918916682402294
1,Temporal,1.0092504501342774
1,Head,nan
2,Swin_Stage1,2.228970183266534
2,STDS,0.3132490672998958
2,Temporal,1.0330568485789828
2,Head,nan
3,Swin_Stage1,2.265302538871765
3,STDS,0.3344721951418453
3,Temporal,1.0635826653904386
3,Head,nan
4,Swin_Stage1,2.2745127413007946
4,STDS,0.3301650393340323
4,Temporal,1.0969969895150926
4,Head,nan
5,Swin_Stage1,2.2732268571853638
5,STDS,0.3064170132080714
5,Temporal,1.1265137394269307
5,Head,nan
6,Swin_Stage1,2.2794266674253674
6,STDS,0.2855074306329091
6,Temporal,1.1333439151446025
6,Head,nan
7,Swin_Stage1,2.2777936591042414
7,STDS,0.2739534866478708
7,Temporal,1.139460563659668
7,Head,nan
8,Swin_Stage1,2.280598799387614
8,STDS,0.27089494383997387
8,Temporal,1.1307343641916912
8,Head,nan
9,Swin_Stage1,2.27848227818807
9,STDS,0.2687086636821429
9,Temporal,1.1371239225069683
9,Head,nan
10,Swin_Stage1,2.277680688434177
10,STDS,0.2707565360599094
10,Temporal,1.1353913678063288
10,Head,nan
