Epoch,Loss,ValLoss,LR,PredMean,PredStd,TargetStd,PredictionEntropy,Alpha,GradAlpha,EffectiveAlpha,GradHead,GradTemporal,GradSwin1,GradSwin2,GradSwin3,GradSwin4,GradSTDS,Head/Swin Ratio,Head/STDS Ratio,LatentStd,MAE,RMSE,Pearson,CCC,GPU Memory
1,7833.926139322916,6192.492838541667,1.000000e-03,12.0141,0.000002,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.997581e+03,3.566350e+02,3.082077e+01,2.863200e+01,5.037448e+01,1.109513e+02,6.864700e+00,97.26,436.67,1.0223,78.2233,78.6924,0.0735,0.0,525.6
2,5771.898893229167,3900.802490234375,1.000000e-03,28.3731,0.000002,8.5792,-59.9159,0.000000e+00,0.000000e+00,0.000000e+00,6.064953e+03,2.999203e+02,5.725317e-03,7.820626e-03,5.878781e-02,3.054788e-01,3.909762e-02,1059321.89,155123.34,1.0515,61.8644,62.4564,nan,0.0,525.6
3,3297.494913736979,1587.042236328125,1.000000e-03,51.3345,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,7.591475e+03,3.892730e+02,4.658247e-03,6.382222e-03,4.659246e-02,2.247816e-01,3.654872e-02,1629684.93,207708.34,1.0844,38.9030,39.8377,0.0000,0.0,525.6
4,1257.9970189412436,189.93341064453125,1.000000e-03,79.4518,0.000006,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,5.673250e+03,3.192061e+02,5.412268e-03,6.671730e-03,5.018421e-02,2.488953e-01,4.297908e-02,1048220.37,132000.25,1.1175,10.7857,13.7816,0.4452,0.0,525.6
5,320.6566780090332,134.26909383138022,1.000000e-03,98.0263,0.000014,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.017005e+03,2.482946e+02,1.390607e-02,1.730848e-02,1.165848e-01,6.346672e-01,1.125355e-01,216956.04,26809.36,1.1377,8.5436,11.5875,0.1233,0.0,525.6
6,387.72706502278646,241.96380615234375,1.000000e-03,103.2129,0.000005,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.990310e+03,4.010557e+02,6.716038e-03,9.148681e-03,4.615412e-02,2.187166e-01,4.343351e-02,445249.13,68848.00,1.1417,12.9754,15.5552,0.7617,0.0,525.6
7,353.8121052424113,73.66522725423177,1.000000e-03,89.9869,0.000005,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.703111e+03,3.514006e+02,4.197771e-04,6.026674e-04,4.797417e-03,2.882778e-02,7.404172e-03,8821611.91,500138.39,1.1304,8.5436,8.5828,0.7617,0.0,525.6
8,402.24861240386963,181.61774190266928,1.000000e-03,100.6305,0.000005,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.261514e+03,4.004162e+02,5.169186e-04,6.552053e-04,4.339266e-03,2.482490e-02,6.656294e-03,6309531.37,489989.42,1.1394,10.3930,13.4766,-0.2665,0.0,525.6
9,351.9084770679474,95.55381520589192,1.000000e-03,94.9227,0.000004,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.110199e+03,2.450952e+02,2.129396e-04,2.964227e-04,1.817204e-03,1.097542e-02,2.873418e-03,14606014.08,1082404.08,1.1348,8.5436,9.7752,0.0826,0.0,525.6
10,440.01977094014484,230.19061787923178,1.000000e-03,102.7510,0.000006,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.717588e+03,2.685972e+02,2.308784e-04,2.961320e-04,1.937609e-03,1.137349e-02,3.004117e-03,16101930.36,1237497.91,1.1413,12.5135,15.1720,0.5235,0.0,525.6
