Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,STDS,Temporal,Fusion,Head,Alpha_Val,Alpha_Grad
1,3.215295e+01,2.966265e+01,4.938490e+01,1.182695e+02,9.471736e-03,3.569445e+02,0.000000e+00,3.007816e+03,-2.727181e-03,7.389630e-01
2,6.350358e-03,9.691340e-03,7.188253e-02,2.865040e-01,4.507792e-04,3.006214e+02,0.000000e+00,6.082171e+03,-4.370244e-03,-2.506637e-03
3,4.345117e-03,5.865148e-03,4.334818e-02,2.050793e-01,4.417469e-04,3.893243e+02,0.000000e+00,7.593634e+03,-4.705890e-03,-4.061135e-05
4,4.070596e-03,5.296365e-03,4.088339e-02,2.031860e-01,5.354248e-04,3.188024e+02,0.000000e+00,5.676640e+03,-4.789333e-03,2.328038e-03
5,7.604958e-03,9.827173e-03,8.317821e-02,4.510729e-01,1.496539e-03,2.380667e+02,0.000000e+00,3.033225e+03,-4.825149e-03,-5.519462e-03
6,5.316948e-03,7.703351e-03,4.443651e-02,1.950187e-01,6.278742e-04,3.912161e+02,0.000000e+00,2.944647e+03,-4.843699e-03,-1.803424e-03
7,5.308906e-04,7.079894e-04,7.115595e-03,3.360999e-02,9.685471e-05,3.559448e+02,0.000000e+00,3.642360e+03,-4.838505e-03,-3.830866e-04
8,4.887491e-04,6.183759e-04,5.982375e-03,2.885537e-02,7.915944e-05,3.918290e+02,0.000000e+00,3.244356e+03,-4.837061e-03,-2.818411e-04
9,1.732124e-04,2.578610e-04,2.230167e-03,1.104002e-02,3.477461e-05,2.520218e+02,0.000000e+00,3.063410e+03,-4.836045e-03,-3.160652e-04
10,1.855588e-04,2.857782e-04,2.411002e-03,1.159605e-02,3.660625e-05,2.745688e+02,0.000000e+00,3.688763e+03,-4.834863e-03,-8.952327e-05
