Epoch,Loss,ValLoss,LR,PredMean,PredStd,TargetStd,PredictionEntropy,Alpha,GradAlpha,EffectiveAlpha,GradHead,GradTemporal,GradSwin1,GradSwin2,GradSwin3,GradSwin4,GradSTDS,Head/Swin Ratio,Head/STDS Ratio,LatentStd,MAE,RMSE,Pearson,CCC,GPU Memory
1,7832.203190104166,6191.328125,1.000000e-03,12.0216,0.000002,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.007816e+03,3.569445e+02,3.215295e+01,2.966265e+01,4.938490e+01,1.182695e+02,9.471736e-03,93.55,317556.96,1.0226,78.2159,78.6850,-0.0284,0.0,525.6
2,5771.840592447917,3899.997314453125,1.000000e-03,28.3796,0.000001,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,6.082171e+03,3.006214e+02,6.350358e-03,9.691340e-03,7.188253e-02,2.865040e-01,4.507792e-04,957768.27,13492574.34,1.0518,61.8579,62.4500,-0.2686,0.0,525.6
3,3303.0904337565103,1596.2247314453125,1.000000e-03,51.2167,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,7.593634e+03,3.893243e+02,4.345117e-03,5.865148e-03,4.334818e-02,2.050793e-01,4.417469e-04,1747624.58,17190011.98,1.0849,39.0208,39.9528,0.0000,0.0,525.6
4,1268.7795043945312,195.70040384928384,1.000000e-03,79.1877,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,5.676640e+03,3.188024e+02,4.070596e-03,5.296365e-03,4.088339e-02,2.031860e-01,5.354248e-04,1394547.71,10602123.94,1.1182,11.0498,13.9893,0.0000,0.0,525.6
5,322.29831040700276,136.8757781982422,1.000000e-03,98.1919,0.000007,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.033225e+03,2.380667e+02,7.604958e-03,9.827173e-03,8.317821e-02,4.510729e-01,1.496539e-03,398848.29,2026826.73,1.1386,8.5436,11.6994,0.1614,0.0,525.6
6,382.8687306722005,243.33439127604166,1.000000e-03,103.2656,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.944647e+03,3.912161e+02,5.316948e-03,7.703351e-03,4.443651e-02,1.950187e-01,6.278742e-04,553822.83,4689868.39,1.1429,13.0281,15.5992,0.0000,0.0,525.6
7,350.18313891092936,75.97883605957031,1.000000e-03,88.6959,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.642360e+03,3.559448e+02,5.308906e-04,7.079894e-04,7.115595e-03,3.360999e-02,9.685471e-05,6860849.62,37606433.75,1.1310,8.5436,8.7166,0.0000,0.0,525.6
8,392.90980132420856,177.1674550374349,1.000000e-03,100.4142,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.244356e+03,3.918290e+02,4.887491e-04,6.183759e-04,5.982375e-03,2.885537e-02,7.915944e-05,6638079.50,40985072.64,1.1406,10.1767,13.3104,0.0000,0.0,525.6
9,347.5626454035441,92.6376953125,1.000000e-03,94.6004,0.000003,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.063410e+03,2.520218e+02,1.732124e-04,2.578610e-04,2.230167e-03,1.104002e-02,3.477461e-05,17685855.69,88093282.72,1.1356,8.5436,9.6248,0.4452,0.0,525.6
10,440.7218719482422,240.5747273763021,1.000000e-03,103.1592,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.688763e+03,2.745688e+02,1.855588e-04,2.857782e-04,2.411002e-03,1.159605e-02,3.660625e-05,19879212.15,100768659.68,1.1429,12.9218,15.5105,0.0000,0.0,525.6
