Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,STDS,Temporal,Fusion,Head
1,32.15294523741701,29.66264663008336,49.38490256270325,118.26954713763963,0.009471735983360097,356.94445658204654,0.0,3007.815724631337
2,0.006350357875798835,0.00969134006788261,0.07188253322275383,0.28650403932314467,0.00045077915787543804,300.6213788301,0.0,6082.171300515451
3,0.004345117467609657,0.005865148394381504,0.043348183480680084,0.2050793382952364,0.0004417468750653613,389.32428140432415,0.0,7593.634075632505
4,0.004070595978574761,0.00529636488092696,0.04088339298652992,0.20318601790660412,0.000535424818100229,318.8024377105466,0.0,5676.640283338663
5,0.007604957962553305,0.009827173147697783,0.08317821390447463,0.4510728937680413,0.0014965386413178033,238.06674009895485,0.0,3033.2245137032414
6,0.005316947988027949,0.007703350575964043,0.04443651101680759,0.19501869204488317,0.0006278741565103221,391.2161347222506,0.0,2944.647157672139
7,0.0005308905531172286,0.0007079894126668427,0.007115594637328237,0.03360998845817571,9.685471044068491e-05,355.94481054376257,0.0,3642.360251165041
8,0.0004887491206104597,0.0006183759320843251,0.005982375140850515,0.028855365235185313,7.915944288026537e-05,391.8290153689954,0.0,3244.3555167536315
9,0.00017321240971757249,0.00025786099730427714,0.002230167234152603,0.011040022452416403,3.4774611500887174e-05,252.021780668546,0.0,3063.4096823368004
10,0.00018555881484414916,0.0002857782127895479,0.0024110023795125926,0.011596051813423916,3.6606252964766404e-05,274.56880367915863,0.0,3688.763047041447
11,0.00016275242707725881,0.00026145136477034875,0.002508311416583436,0.01208054361751861,4.371995292104821e-05,289.8926376250912,0.0,3544.446731107668
12,0.00015214042784354826,0.0002337803279272473,0.0020567065082154677,0.010392991726263907,3.611695375602846e-05,256.4217728281357,0.0,3300.4420515882716
13,9.591642131246551e-05,0.00015514083216368405,0.001359150742275655,0.007106280549716907,2.5163173239944084e-05,207.37267567723498,0.0,3081.0321905185338
14,0.00012410238475383446,0.00018146803488738444,0.0011654997827118816,0.006282320427515278,2.2981010745198743e-05,172.91750865137445,0.0,2692.467845118925
15,0.00013790432968507885,0.00019623738222002593,0.001252568975548314,0.006598976164399205,2.414905913298597e-05,174.7351938584822,0.0,2825.4150772640905
16,0.00014489946986786514,0.00021462797597182712,0.0013030135528221626,0.0069732421158052536,2.58137153944743e-05,187.9469863472599,0.0,2996.7681320831953
17,9.447541655962388e-05,0.0001540961267542976,0.0011240606024446355,0.005730959515954297,1.861862946942048e-05,182.9954710027218,0.0,3054.996993852434
18,7.441464742041274e-05,0.00010283811241012057,0.0007737162578391404,0.0038334440681119515,1.519363342419313e-05,126.22070784420613,0.0,2339.6737611861295
19,8.58447153294151e-05,0.0001276691154888594,0.0011400642176205447,0.005726714555940236,2.0524470602898957e-05,225.74516086029828,0.0,3693.0822203702696
20,8.347573057044726e-05,0.00011249987300750371,0.0009098491906994116,0.00470002852813808,2.356674491043943e-05,129.35836359609002,0.0,2183.9652974826345
21,0.00015193405575962714,0.00020640966491201912,0.001767152685592456,0.008980472819266635,3.167277595076261e-05,227.1083541873084,0.0,3289.2478242842044
22,0.0001559508382861818,0.00021456690782920113,0.0017775196772884798,0.008169230449455594,3.157909422799054e-05,223.00839978742,0.0,3438.179862693697
23,0.00010491765945019265,0.00015057248750305203,0.0012825990897128894,0.006291805503058822,2.3441966263674615e-05,196.5556604011789,0.0,3248.359735231422
24,9.021349357872514e-05,0.0001307646029726185,0.0010445849725107738,0.005452176345026452,1.870699716245543e-05,224.02779750581306,0.0,3797.8546931460064
25,7.956133138237832e-05,0.0001211775989674231,0.0009095350859208313,0.005348383830544593,1.793287280762671e-05,196.84018218390793,0.0,3204.2365862048323
26,8.213196319462033e-05,0.00011748065538575118,0.0008712165539753925,0.004853634985924981,1.5963216367883828e-05,173.42821178535553,0.0,2917.168399104578
27,5.973643476208862e-05,8.838035803132143e-05,0.0006842405245837588,0.003564443952298227,1.2639993928844892e-05,141.88423872963233,0.0,2661.3302002392306
28,7.500286599872057e-05,0.00010039470894775743,0.000798902207620382,0.004200406690638374,1.4650130742975105e-05,168.57470316102055,0.0,2951.5793603156185
29,6.809674727520005e-05,9.181039695944848e-05,0.0008100452633300643,0.004396929417029793,1.4574282806773245e-05,193.0058916638896,0.0,3304.054766050082
30,7.42117602126046e-05,9.2378784766005e-05,0.0008142407048539374,0.004342364523980291,1.3984742604361635e-05,192.80508312540434,0.0,3258.680592902279
31,8.34058220058506e-05,9.714824399877946e-05,0.0009746697805895245,0.004964430994617481,1.6742570656275113e-05,179.67437216816512,0.0,3092.323522152225
32,0.00011070102888759804,0.00013570611218102194,0.0010087793383758501,0.005229606695942501,1.5566725242145286e-05,208.88383117288467,0.0,3508.820474780587
