Epoch,Module,Mean,Variance,Max,Min,Dead_Pct
1,Swin_Stage1,-0.12662388781706493,4.86071743965149,11.439625867207845,-12.613950538635255,0.0
1,Swin_Stage2,0.05366770476102829,4.022774569193522,10.610217984517416,-10.366661516825358,0.0
1,Swin_Stage3,-0.00760107832805564,9.173044061660766,32.34116032918294,-47.771185111999515,0.0
1,Swin_Stage4,-0.22464424669742583,63.43694858551025,78.5761116027832,-322.45986022949216,0.0
1,Temporal,0.00017556021387766426,1.0191272894541423,2.859442694981893,-3.014292256037394,0.0
1,Fusion,0.00017556021387766426,1.0191272894541423,2.859442694981893,-3.014292256037394,0.0
1,Head,5.62061380247275,0.16114390832760062,5.833933718999227,5.407293766736984,0.0
2,Swin_Stage1,-0.1491127833724022,6.6440965334574384,11.594515991210937,-13.39208132425944,1.8084491178645596e-06
2,Swin_Stage2,0.061205409467220306,5.098264503479004,10.807718594868978,-9.861061604817708,3.6168982357291193e-06
2,Swin_Stage3,-0.05009213872253895,10.961507352193196,38.9414794921875,-62.13280232747396,0.0
2,Swin_Stage4,-0.2403371940056483,85.56763254801432,97.434703318278,-461.8790791829427,0.0
2,Temporal,5.6013001502227176e-05,1.0717917680740356,2.292884429295858,-2.180241409937541,0.0
2,Fusion,5.6013001502227176e-05,1.0717917680740356,2.292884429295858,-2.180241409937541,0.0
2,Head,17.36425062815348,2.5185403037816285,18.16973114013672,16.55876967112223,0.0
3,Swin_Stage1,-0.14359584252039592,6.916815567016601,11.656156539916992,-13.564946683247884,0.0
3,Swin_Stage2,0.06363795499006906,5.3757245699564615,10.892122840881347,-9.826778475443522,5.425347353593679e-06
3,Swin_Stage3,-0.05408703833818436,11.203341865539551,35.394853846232095,-57.3771006266276,0.0
3,Swin_Stage4,-0.26761289437611896,102.07723185221354,86.49725341796875,-481.0740071614583,0.0
3,Temporal,-0.00028923321806360034,1.135649069150289,1.9460556348164877,-1.8771611213684083,0.0
3,Fusion,-0.00028923321806360034,1.135649069150289,1.9460556348164877,-1.8771611213684083,0.0
3,Head,35.075008392333984,6.332565757632255,36.45156262715658,33.69845479329427,0.0
4,Swin_Stage1,-0.14827193220456442,7.0183307011922205,11.61197115580241,-13.564804649353027,0.0
4,Swin_Stage2,0.06419656823078791,5.396731185913086,11.120800844828288,-9.888505617777506,1.8084491178645596e-06
4,Swin_Stage3,-0.05732072989145915,11.474659474690755,37.77387784322103,-60.39202194213867,0.0
4,Swin_Stage4,-0.25217594305674235,93.99324010213216,94.35873870849609,-482.0142822265625,0.0
4,Temporal,-0.000832103433397909,1.2082561651865642,1.7688607613245646,-1.7330449899037679,0.0
4,Fusion,-0.000832103433397909,1.2082561651865642,1.7688607613245646,-1.7330449899037679,0.0
4,Head,59.34579696655273,12.604691200827558,61.025124867757164,57.66647008260091,0.0
5,Swin_Stage1,-0.14875011791785558,7.0388741811116535,11.637698618570964,-13.58881066640218,9.042245589322798e-07
5,Swin_Stage2,0.06410364160935084,5.415340328216553,10.887751706441243,-9.849721844991048,0.0
5,Swin_Stage3,-0.06626614307363828,13.77245864868164,39.82809677124023,-62.90796890258789,0.0
5,Swin_Stage4,-0.13500753392775852,40.52234013875326,109.35975952148438,-436.16209309895834,0.0
5,Temporal,-0.0013739319751039148,1.272906732559204,1.8191518863042195,-1.8254402001698813,0.0
5,Fusion,-0.0013739319751039148,1.272906732559204,1.8191518863042195,-1.8254402001698813,0.0
5,Head,81.43515268961589,27.431333364049593,84.42155507405599,78.44874979654948,0.0
6,Swin_Stage1,-0.14746430789430937,7.027761745452881,11.669710032145183,-13.508587900797526,3.6168982357291193e-06
6,Swin_Stage2,0.06518658896287283,5.4890628496805824,10.862660725911459,-9.795724232991537,0.0
6,Swin_Stage3,-0.07891120662291845,17.560623296101888,41.538621012369795,-64.4552480061849,0.0
6,Swin_Stage4,-0.06543450777729352,15.302472559611003,102.31163787841797,-374.37993672688805,0.0
6,Temporal,-0.0018902692167709271,1.3006311416625977,1.9847283681233725,-2.020411245028178,0.0
6,Fusion,-0.0018902692167709271,1.3006311416625977,1.9847283681233725,-2.020411245028178,0.0
6,Head,90.309619140625,11.18767369290193,92.11543172200521,88.5038065592448,0.0
7,Swin_Stage1,-0.14874040161569912,7.055098374684651,11.724555778503419,-13.685897890726725,1.8084491178645596e-06
7,Swin_Stage2,0.06511262481411298,5.440353488922119,10.408441797892253,-9.85056209564209,0.0
